osm_type,osm_id,name,amenity,healthcare,facility_role,latitude,longitude
way,841800555,"Government Lower Primary School, Kariampadi",school,,school,,
way,841802094,St.Mary's English Medium School Chomady,school,,school,,
way,841803544,"Government Higher Secondary School, Panamkandy",school,,school,,
way,841807210,"W.M.O English Academy Senior Secondary School, Muttil",school,,school,,
way,841809172,W M O English Academy Muttil,school,,school,,
way,841951353,Brains Public School Muttil,school,,school,,
way,841958853,"W O Upper Primary School, Muttil",school,,school,,
way,841960865,W. O School For The Blind And Deaf Muttil,school,,school,,
way,841961720,Government Lower Primary School Edapetty,school,,school,,
way,841963052,"Government High School, Pariyaram",school,,school,,
way,841970459,Ansariya Public School,school,,school,,
way,842948269,R C Upper Primary School Pallikunnu,school,,school,,
way,842949885,St Thomas Lower Primary School Arinchermala,school,,school,,
way,842950738,Government Lower Primary School Palukunnu,school,,school,,
way,842952332,Apple Day Oriental School,school,,school,,
way,842953060,Government Upper Primary School Kaniyambetta,school,,school,,
way,842960059,St Marys Public School Panamaram,school,,school,,
way,842965226,Government Higher Secondary School Panamaram,school,,school,,
way,842970454,Government Lower Primary School Panamaram,school,,school,,
way,842975143,Peripatatic Tr School Pariyaram,school,,school,,
way,842982213,Government Lower Primary School Cheekkalloor,school,,school,,
way,842984109,Government Lower Primary School Nelliyambam,school,,school,,
way,843567798,Government Upper Primary School Poothadi,school,,school,,
way,843570454,A Upper Primary School Arimula,school,,school,,
way,843571244,N A A Upper School Manikavu,school,,school,,
way,843573426,S A Lower Primary School Gokhale Nagar,school,,school,,
way,843745041,K V A Upper Primary School Koleri,school,,school,,
way,843775772,A Lower Primary School Marianad Pambra,school,,school,,
way,843782495,Christ English Medium School Irulam,school,,school,,
way,843799169,S N Balavihar Irulam,school,,school,,
way,843800793,Crescent Public School Vakery,school,,school,,
way,843802867,Government Vocational Higher Secondary School Vakery,school,,school,,
way,843805452,S N A Lower Primary School Narayanpuram,school,,school,,
way,843807265,Government High School Chenad,school,,school,,
way,845758100,Madakkimala Service cooperative bank,bank,,bank,,
way,847932776,Union Bank of India,bank,,bank,,
way,847934318,Mayo,bar,,bar,,
way,847937143,,place_of_worship,,place_of_worship,,
way,847941068,Canara Bank,bank,,bank,,
way,847943236,Lucky,restaurant,,restaurant,,
way,847944005,Thoufeeque,restaurant,,restaurant,,
way,847944719,,place_of_worship,,place_of_worship,,
way,847945365,Smile Dental clinic,dentist,dentist,dentist,,
way,847950146,Thriveni,cinema,,cinema,,
way,847952380,Wayanad District Co-operative Bank,bank,,bank,,
way,847969512,State Bank of India,bank,,bank,,
way,848410699,,fast_food,,fast_food,,
way,848433361,"Canteen, CHC Meenangadi",restaurant,,restaurant,,
way,848435251,Purnayoo Arogya Nikethanam,,hospital,hospital,,
way,857075127,Court,courthouse,,courthouse,,
way,857772211,"Government Lower Primary School, Madakkimala",school,,school,,
way,858051516,"Police Station ,Ambalavayal",police,,police,,
way,858054200,Family Health Centre Ambalavayal,hospital,hospital,hospital,,
way,858377096,Kuodothummal Anganavadi,childcare,,childcare,,
way,858378349,"Edathil Anganavadi , Cheekkalloor",childcare,,childcare,,
way,858378980,Pachilakkad Second Anganavadi,childcare,,childcare,,
way,858381978,Kolipoetta Anganavadi,childcare,,childcare,,
way,858388911,KALARIKUNNU ANGANWADI,childcare,,childcare,,
way,858390150,Edakkombam Anganvady,childcare,,childcare,,
way,858391363,Anganwadi,childcare,,childcare,,
way,858393681,"Sub Centre, Kallupadi",hospital,hospital,hospital,,
way,858402810,Pralikunnu Anganwadi,childcare,,childcare,,
way,858403357,കാക്കവയല്‍ സ്ക്കൂള്‍ ഗ്രൗണ്ട്,school,,school,,
way,858415886,G L P SCHOOL KALPETTA OFFICE,school,,school,,
way,858415887,G L P SCHOOL KALPETTA AUDITORIUM,school,,school,,
way,858415888,GLP SCHOOL KALPETTA BUILDINGS,school,,school,,
way,858415889,G L P SCHOOL KALPETTA,school,,school,,
way,859558129,Kenichira Sub Centre,hospital,hospital,hospital,,
way,860287183,"Chelode Anganwadi, Chelode",childcare,,childcare,,
way,860325239,sc valavayal,hospital,hospital,hospital,,
